"TIME","GEO","NRG_BAL","INDIC_NRG","Value","Flag and Footnotes"
"2005M01","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M01","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M01","Belgium","Imports","Volume - thousand barrels","19,478.00",""
"2005M01","Belgium","Imports","Average price - USD per barrel","39.48",""
"2005M01","Bulgaria","Imports","Volume - thousand barrels","0.00",""
"2005M01","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M01","Czechia","Imports","Volume - thousand barrels","4,702.00",""
"2005M01","Czechia","Imports","Average price - USD per barrel","40.70",""
"2005M01","Denmark","Imports","Volume - thousand barrels","2,252.00",""
"2005M01","Denmark","Imports","Average price - USD per barrel","45.69",""
"2005M01","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","76,419.00",""
"2005M01","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","41.01",""
"2005M01","Estonia","Imports","Volume - thousand barrels",":",""
"2005M01","Estonia","Imports","Average price - USD per barrel",":",""
"2005M01","Ireland","Imports","Volume - thousand barrels","2,495.14",""
"2005M01","Ireland","Imports","Average price - USD per barrel","44.40",""
"2005M01","Greece","Imports","Volume - thousand barrels","11,759.00",""
"2005M01","Greece","Imports","Average price - USD per barrel","37.95",""
"2005M01","Spain","Imports","Volume - thousand barrels","38,766.72",""
"2005M01","Spain","Imports","Average price - USD per barrel","39.49",""
"2005M01","France","Imports","Volume - thousand barrels","53,316.67",""
"2005M01","France","Imports","Average price - USD per barrel","41.88",""
"2005M01","Croatia","Imports","Volume - thousand barrels",":",""
"2005M01","Croatia","Imports","Average price - USD per barrel",":",""
"2005M01","Italy","Imports","Volume - thousand barrels","51,931.77",""
"2005M01","Italy","Imports","Average price - USD per barrel","39.38",""
"2005M01","Cyprus","Imports","Volume - thousand barrels",":",""
"2005M01","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M01","Latvia","Imports","Volume - thousand barrels",":",""
"2005M01","Latvia","Imports","Average price - USD per barrel",":",""
"2005M01","Lithuania","Imports","Volume - thousand barrels","4,768.44",""
"2005M01","Lithuania","Imports","Average price - USD per barrel","37.62",""
"2005M01","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M01","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M01","Hungary","Imports","Volume - thousand barrels","4,207.15",""
"2005M01","Hungary","Imports","Average price - USD per barrel","36.46",""
"2005M01","Malta","Imports","Volume - thousand barrels",":",""
"2005M01","Malta","Imports","Average price - USD per barrel",":",""
"2005M01","Netherlands","Imports","Volume - thousand barrels","31,418.00",""
"2005M01","Netherlands","Imports","Average price - USD per barrel","38.26",""
"2005M01","Austria","Imports","Volume - thousand barrels","4,742.00",""
"2005M01","Austria","Imports","Average price - USD per barrel","42.31",""
"2005M01","Poland","Imports","Volume - thousand barrels","11,574.77",""
"2005M01","Poland","Imports","Average price - USD per barrel","37.97",""
"2005M01","Portugal","Imports","Volume - thousand barrels","8,188.67",""
"2005M01","Portugal","Imports","Average price - USD per barrel","40.89",""
"2005M01","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M01","Romania","Imports","Average price - USD per barrel",":","z"
"2005M01","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M01","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M01","Slovakia","Imports","Volume - thousand barrels","2,217.00",""
"2005M01","Slovakia","Imports","Average price - USD per barrel","38.20",""
"2005M01","Finland","Imports","Volume - thousand barrels","6,639.00",""
"2005M01","Finland","Imports","Average price - USD per barrel","40.25",""
"2005M01","Sweden","Imports","Volume - thousand barrels","11,198.00",""
"2005M01","Sweden","Imports","Average price - USD per barrel","40.19",""
"2005M01","Norway","Imports","Volume - thousand barrels",":",""
"2005M01","Norway","Imports","Average price - USD per barrel",":",""
"2005M01","United Kingdom","Imports","Volume - thousand barrels","33,353.42",""
"2005M01","United Kingdom","Imports","Average price - USD per barrel","42.95",""
"2005M01","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M01","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M01","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M01","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M01","Moldova","Imports","Volume - thousand barrels",":",""
"2005M01","Moldova","Imports","Average price - USD per barrel",":",""
"2005M02","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M02","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M02","Belgium","Imports","Volume - thousand barrels","17,838.00",""
"2005M02","Belgium","Imports","Average price - USD per barrel","40.62",""
"2005M02","Bulgaria","Imports","Volume - thousand barrels","0.00",""
